City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dudinka,69.4058,86.1778,18.78,58,98,4.75,RU,1722212028
1,amga,60.8953,131.9608,19.89,59,99,2.83,RU,1722212029
2,thompson,55.7435,-97.8558,21.21,53,91,1.97,CA,1722212030
3,grytviken,-54.2811,-36.5092,-2.35,69,100,7.22,GS,1722212031
4,luderitz,-26.6481,15.1594,11.36,64,0,7.93,NA,1722212033
5,whitehorse,60.7161,-135.0538,20.05,40,59,2.68,CA,1722212034
6,qaqortoq,60.7167,-46.0333,5.66,79,50,1.99,GL,1722212037
7,tiksi,71.6872,128.8694,3.14,94,100,4.43,RU,1722212039
8,port-aux-francais,-49.35,70.2167,0.06,74,97,15.01,TF,1722212041
9,west island,-12.1568,96.8225,25.99,83,75,5.14,CC,1722212042
10,reggane,26.7158,0.1714,38.9,14,0,8.71,DZ,1722212043
11,bernardo de irigoyen,-26.2552,-53.6458,15.21,93,100,1.8,AR,1722212044
12,korla,41.7597,86.1469,31.26,22,49,3.97,CN,1722212045
13,adamstown,-25.066,-130.1015,20.97,76,70,6.09,PN,1722212048
14,port mathurin,-19.6833,63.4167,22.14,76,17,5.42,MU,1722212049
15,bel ombre,-4.6167,55.4167,24.91,83,40,4.63,SC,1722212050
16,jackson,42.4165,-122.8345,32.93,21,0,6.17,US,1722211927
17,albany,42.6001,-73.9662,25.38,70,69,1.73,US,1722212052
18,atafu village,-8.5421,-172.5159,27.7,76,60,6.22,TK,1722212053
19,shimanovsk,52.0,127.7,25.44,55,7,2.65,RU,1722212054
20,iqaluit,63.7506,-68.5145,6.85,87,75,5.14,CA,1722212055
21,utrik,11.2278,169.8474,27.38,78,27,2.29,MH,1722212056
22,ribeira grande,38.5167,-28.7,24.87,92,11,0.89,PT,1722212057
23,hithadhoo,-0.6,73.0833,27.96,77,83,2.2,MV,1722212058
24,antofagasta,-23.65,-70.4,13.6,86,15,1.76,CL,1722211583
25,college,64.8569,-147.8028,17.82,63,40,2.06,US,1722212061
26,phon,15.816,102.5998,24.71,90,100,5.13,TH,1722212062
27,mundo novo,-11.8589,-40.4725,18.19,95,89,1.95,BR,1722212064
28,rongelap,11.1635,166.8941,27.75,78,79,3.34,MH,1722212065
29,yellowknife,62.456,-114.3525,23.09,67,93,6.71,CA,1722212066
30,rangia,26.4667,91.6333,28.97,90,100,2.48,IN,1722212067
31,georgetown,5.4112,100.3354,26.96,78,20,3.6,MY,1722211772
32,edinburgh of the seven seas,-37.0676,-12.3116,13.96,95,98,4.83,SH,1722212070
33,ilulissat,69.2167,-51.1,7.01,87,100,5.66,GL,1722212072
34,stanley,54.868,-1.6985,12.51,93,0,1.03,GB,1722212073
35,hawaiian paradise park,19.5933,-154.9731,27.73,65,75,4.12,US,1722212074
36,blackmans bay,-43.0167,147.3167,5.41,91,57,1.51,AU,1722212075
37,bredasdorp,-34.5322,20.0403,8.55,79,90,3.37,ZA,1722212076
38,tsiombe,-25.3,45.4833,17.6,90,1,0.18,MG,1722212077
39,andergrove,-21.0833,149.1833,18.14,38,29,7.7,AU,1722212078
40,san patricio,28.017,-97.5169,30.47,68,56,6.48,US,1722212079
41,derzhavinsk,51.1,66.3167,15.85,64,23,3.95,KZ,1722212081
42,port elizabeth,-33.918,25.5701,9.62,76,0,7.2,ZA,1722212082
43,nouadhibou,20.931,-17.0347,20.99,88,40,9.26,MR,1722212084
